keyword,pagenumber,title,location,region,salary,worktype,advertiser,classification,jd,url
Data-Scientist,1,b'Data Scientist\r\n    ',b'Sydney'," CBD, Inner West & Eastern Suburbs",,b'Full Time',NRMA Motoring &amp; Services - ,b'Marketing &amp; Communications',"['\n', <p>The NRMA was born to keep people moving, and we have been doing this for nearly 100 years. Our vision is to create indispensable connections with our Members’ mobility through
<strong>my car, my journey</strong> and <strong>my destination.</strong><br/>
<br/>
Our Members enjoy our legendary roadside assistance, car servicing and repairs, Thrifty car and truck rentals, the latest fuel prices and more via the
<strong>mynrma app</strong>, discounted travel and accommodation at our Holiday parks, Travelodge and Hotel Kurrajong Canberra<br/>
<br/>
<strong>Your opportunity</strong><br/>
<br/>
Data is an incredibly important area of growth for the NRMA. This year we have made a significant investment in our people and technology and have already had a fantastic response for the real-time Fuel and Parking features which we launched in the MyNRMA app
 late last year. But this is just the beginning.<br/>
<br/>
The <strong>Data Scientist</strong> will have a stronger focus on expanding and enriching our member-customer data assets &amp; capability, through close collaboration with Technology and Product Management.<br/>
<br/>
Here is where you come in!<br/>
</p>, '\n', <ul>
<li>Support the continuous expansion and enrichment of Data Assets and Capabilities</li><li>Perform predictive analytics and build models for customer engagement, retention, lifetime value</li><li>Grow data and business knowledge of Membership and Group Businesses</li><li>Ensure timely and accurate delivery of reports for designated stakeholder groups</li><li>Hands on analysis and visualization of complex web based data utilizing a variety of tools</li><li>Manage the campaign data design, build, delivery, and measurement of all Member and Customer communications</li></ul>, '\n', <p><strong>Your experience</strong><br/>
<br/>
You will have the customer experience at the heart of what you do and be able to demonstrate:<br/>
</p>, '\n', <ul>
<li>Tertiary related qualification in computer science, statistics, marketing, or IT related discipline</li><li>Minimum 7 years’ experience in an analyst role responsible for campaign, reporting, and analysis</li><li>Advanced SQL skills and experience dealing with large and complex data sets</li><li>Ability to adapt and navigate through complex systems</li><li>Strong analytical, business acumen, and problem solving skills</li><li>Possess a positive “can-do” attitude couples with excellent communication skills</li><li>Experience in data warehousing, data modeling, propensity modeling and scoring, statistical inference and validation, segmentation, clustering, regression and response modeling</li></ul>, '\n', <p><strong>Your benefits</strong><br/>
<br/>
We offer a competitive remuneration and our benefits include 50% discount on insurance, free NRMA Premium Care Membership , product and travel discounts, 50% discount on Village Roadshow Theme Parks, plus many more!<br/>
<br/>
We moved to a brand new office in Sydney Olympic Park. Here you will enjoy the convenience of free parking or being on the doorstep of the train station, plus the atmosphere of vibrant cafes and restaurants to appease your appetite.<br/>
<br/>
Your journey with us starts here, so get in the driver’s seat and take control of your career. Apply now.<br/>
</p>, '\n', <div class=""videoembed"" id=""FlashContent""></div>, '\n']",https://www.seek.com.au/job/33406210?type=standout&tier=no_tier&pos=1&whereid=1000&userqueryid=54c93dfefcde8238be91887199ac0064-0028302&ref=beta
Data-Scientist,1,,b'Sydney'," CBD, Inner West & Eastern Suburbs",b'$700 - 900 per day',b'Contract/Temp',Opus Recruitment Solutions - ,b'Science &amp; Technology',"[<strong>DATA SCIENTIST - TOP 100 ASX COMPANY</strong>, <br/>, '\n', <ul>
<li>6-month contract</li><li>Passionate team</li><li>Strong Data Science strategy</li><li>Top 100 ASX Company</li></ul>, '\n', <br/>, '\n', <br/>, '\r\nMy client, a top 100 ASX company active in the financial industry, is strongly investing in Big Data and Data Science. They are currently looking for a Data Scientist who will play a key role in the strategy. You will have to bring your expertise to a wide\r\n range of departments to help them identify and address business issues. You are not only going to work on technical works, but as a proper Data Scientist, you will have to approach business as a whole – strategically.', <br/>, '\n', <br/>, '\r\nIf you are willing to join a reputable company with a strong Data Science strategy, please send me your CV.', <br/>, '\n', <strong>Job Responsibilities – Data Scientist</strong>, <br/>, '\n', <ul>
<li>Provide your expertise through machine learning models and make sure your models are strong and bring value to the business</li><li>Exposure with various stakeholders: understand their needs and provide them with tailored solutions</li><li>Bring your own vision of the business and deliver analyses and recommendations</li></ul>, '\n', <br/>, '\n', <strong>Requirements - Data Scientist</strong>, <br/>, '\n', <ul>
<li>Previous relevant experience in Data Science</li><li>Business acumen</li><li>Strong background in either Python or R</li></ul>, '\n', <br/>, '\r\nIf you would like to hear more about this role, then don’t delay, get in touch with me today! Click on the APPLY button or call Jeremy Corbet on: 02 9238 42 01\r\n    ']",https://www.seek.com.au/job/33404974?type=standard&tier=no_tier&pos=2&whereid=1000&userqueryid=54c93dfefcde8238be91887199ac0064-0028302&ref=beta
Data-Scientist,1,b'Data Scientist\r\n    ',b'Sydney'," CBD, Inner West & Eastern Suburbs",,b'Full Time',Caltex Australia - ,b'Science &amp; Technology',"['\n', <p>At Caltex, we’re with you all the way. We keep millions of people moving every day, and continue to be Australia’s leading transport fuel supplier and convenience retailer. We’re a diverse, multi-faceted business full of people ready to make a difference.
 Our growing and changing business means we’ve got career opportunities across different parts of the business. Where do you come in?<br/>
<br/>
You will be responsible for providing advanced analytics and machine learning to derive insights from large and disparate data sets. Partnering with a range of key business stakeholders, you will define, design and build statistical and analytical modelling
 strategies to provide organisational solutions. You will contribute to improve visibility of big data analytics across the organisation whilst driving business performance.<br/>
<br/>
As the successful candidate you will have a relevant tertiary qualification in mathematics, statistics, computer science or actuarial science or similar; coupled with working experience in advanced analytics and machine learning with large complex data sets.
 You will have sound communication skills with the ability to explain complex concepts simply and present large data sets in a compelling descriptive analysis.<br/>
<br/>
Knowledge of open source tools for distributed computing (i.e. Spark), programming in python and R coupled with Cloud Based Infrastructure and Machine Learning would be essential.<br/>
<br/>
Caltex is renowned for an excellent team environment and passion for customer service. If this is what you are looking for, please click 'Apply Now' or visit our Careers website at https://jobs.caltex.com.au/. Applications close 18th May 2017.<br/>
<br/>
Caltex Australia acknowledges the Traditional Owners of the lands on which we work. As part of our efforts to leave a sustained positive footprint in the communities and broader economies in which we operate, we strongly encourage Aboriginal and Torres Strait
 Islander peoples to apply. </p>, '\n']",https://www.seek.com.au/job/33404052?type=standout&tier=no_tier&pos=3&whereid=1000&userqueryid=54c93dfefcde8238be91887199ac0064-0028302&ref=beta
Data-Scientist,1,b'Data Engineer/Scientist/Analytics Consultant\r\n    ',b'Sydney'," CBD, Inner West & Eastern Suburbs",b'Competitive and negotiable',b'Full Time',BI &amp; DW Australia - ,b'Information &amp; Communication Technology',"[<strong>A leading IM Professional Services consultancy is looking for a Mid to Senior Analytics consultant who possesses a Data Engineering/Scientist background and wants to move to the next level in their career.</strong>, <br/>, '\n', <br/>, '\r\nThis leading Australian Professional services company has an excellent track record in the Business Intelligence and Datawarehousing arena and as times & technology develop and change, so do they. Their Advanced Analytics division explores the science of data\r\n whether from traditional analytics to Big Data and they need new staff.\xa0', <br/>, '\n', <br/>, '\r\nThey are looking for a mid level to senior candidate with good analytics skills ideally in the consulting space.You will be a confident & effective communicator with an ability to deal with executives, project team members and end user staff.', <br/>, '\n', <br/>, '\r\nIdeally, you will have the capability to qualify user requirements and have a commercial edge to your skillset that has yet to be utilised fully as their is scope for pre-sales & client engagement development work within this role\xa0', <br/>, '\n', <br/>, '\r\nSome ideal technical skills for this role would include:', <br/>, '\n', <ul>
<li>Experience with Hadoop &amp; Spark and related cloud environments  </li><li>Python and/or Scala for general purpose programming </li><li>Common analytics skills such as R, SAS, SPSS, Angoss, Alteryx </li><li>Familiarity with common BI tools such as Qlik, Microstrategy, Tableau, Shiny, gg-plot
</li></ul>, '\r\nPlease note this role may require interstate travel and visa sponsorship can only be offered to overseas candidates who fit this profile perfectly.\r\n    ']",https://www.seek.com.au/job/33394134?type=standout&tier=no_tier&pos=4&whereid=1000&userqueryid=54c93dfefcde8238be91887199ac0064-0028302&ref=beta
Data-Scientist,1,b'Sr. Data Scientist - Perm -Sydney\r\n    ',b'Sydney'," CBD, Inner West & Eastern Suburbs",b'$150-$160K + Super',b'Full Time',Infopeople - ,b'Science &amp; Technology',"['My client is seeking an experienced Data Scientist with more than 5 years of experience in similar data and analytics related roles. This role would be part of a very high performing team of analysts, data scientists, and consultants.\xa0', <br/>, '\n', <br/>, '\r\nIn this role, you will apply machine learning, statistics and advanced analytics concepts and models to extract insights from large datasets. You will be part of a growing team and contribute towards some really exciting projects. You will lead a team in this\r\n role.\xa0', <br/>, '\n', <br/>, '\n', <strong>Your responsibilities:<br/>
</strong>, '\n', <ul>
<li>Lead a small team of data analysts and data scientists </li><li>Explore large datasets, discover trends and patterns and extract insights   </li><li>Apply Statistical/Machine Learning techniques to build data product and features.
</li><li>Develop scripts to extract and analyze large data sets and build statistical models
</li><li>You are technically hands on and will contribute to any piece of work if required.
</li><li>You will be building statistical models utilizing descriptive and predictive statistical modeling.
</li></ul>, '\n', <strong>Your skills and experience:</strong>, '\n', <ul>
<li><strong>Australian citizenship </strong>- Very highly regarded, due to the nature of the job and clients. If you are an Australian citizen, please mention in your resume. Candidates with Australian PR can also apply but short-listing depends on case to
 case basis.  </li><li>Experience in <strong>Fraud Detection</strong> - Good to have </li><li><strong>Healthcare or Medical background: - Very highly regarded. </strong>If you have experience in Medical Clinical codes, please do mention in your profile.
</li><li><strong>Education:</strong> Post-graduate qualification in <strong>Statistics, Mathematics, machine Learning. </strong>
</li><li>At least <strong>5</strong> of experience in a commercial advanced analytics and insights environment - Required
</li><li>Solid skills in <strong>SQL and R</strong> for data extraction and manipulation and to create reports and dashboards.
</li><li>Skills in <strong>NLP, text mining, or network analysis</strong>  </li></ul>, '\n']",https://www.seek.com.au/job/33378604?type=standard&tier=no_tier&pos=5&whereid=1000&userqueryid=54c93dfefcde8238be91887199ac0064-0028302&ref=beta
Data-Scientist,1,b'\r\n          Data Scientist\r\n        ',b'Sydney'," CBD, Inner West & Eastern Suburbs",,b'Full Time',Hyper Anna - ,b'Science &amp; Technology',"['\n', <p>THE ROLE</p>, '\n', <p>We're looking for Data Scientist to join our newly created Forward Deployed Data Science team. The heart of this team is to ensure that our proprietary product 'Anna' and our clients have a long &amp; successful relationship and to help us with this, you will
 be the go-to Data Scientist responsible for solving our clients data analytics' problems. </p>, '\n', <p>Working closely with the Customer, Data Science and Engineering teams, you will own client data on-boarding, reconciliation and analysis. Working with other data scientists in the team, you'll be able to have a key influence and provide input into the technical
 direction of Anna.</p>, '\n', <p>ABOUT YOU</p>, '\n', <p>You're passionate, up to date on new technologies, laid-back and adaptable. You know when to obsess over details and when it's time to delivery. <br/>
You're someone who wants to have an impact on the product you're working on and excited to join a creative and passionate team. <br/>
You want variety &amp; exposure to different data-sets &amp; industries. From financial services, technology, professional services and government clients, no project or data set is ever the same.<br/>
Aside from your expertise in SQL/R/Python, you are fluent in the application and commercialisation of data analytics. <br/>
Whether it's solving a new problem, reviewing code or sharing an approach with the team, you're an excellent communicator who takes pride in delivering the highest quality work.<br/>
You're hungry to learn and innovate working alongside world-class data scientists.</p>, '\n', <p>ABOUT US</p>, '\n', <p>We're a rapidly growing startup in the artificial intelligence space - we're poised for a huge year and we need to expand our team to help us reach our goals. We're casual and flexible and pride ourselves on our diverse, inclusive working culture.</p>, '\n', <p>SKILLS &amp; QUALIFICATIONS</p>, '\n', <p>Bachelor's degree in quantitative field with 3 plus years of relevant experience<br/>
Advanced experience in SQL/R/Python<br/>
Advanced analytical and problem solving skills<br/>
Ability to work independently or as part of a group<br/>
Ability to work in a fast paced and collaborative environment<br/>
Ability to exchange ideas and convey complex information clearly and concisely<br/>
Proven ability to lead and drive projects to completion</p>, '\n', <p>THE OFFER</p>, '\n', <p>Competitive salary on offer<br/>
Beautiful, centrally-located office<br/>
The opportunity to progress into a lead role<br/>
 </p>, '\n']",https://www.seek.com.au/job/33371336?type=standard&tier=no_tier&pos=6&whereid=1000&userqueryid=54c93dfefcde8238be91887199ac0064-0028302&ref=beta
Data-Scientist,1,b'Data Scientist\r\n      ',b'Sydney'," CBD, Inner West & Eastern Suburbs","b'$120,000 to $130,000'",b'Full Time',Naviro - ,b'Information &amp; Communication Technology',"[""An opportunity has arisen looking for a Data Scientist to work with in of Sydney's fastest growing mobile app companies."", <br/>, '\n', <br/>, ""\r\nMy client produces the most used app of it's type in the world. This means we they have some very interesting scalability challenges across the whole stack."", <br/>, '\n', <div><strong><br/>
Key Responsibilities</strong><br/>
</div>, '\n', <div>
<ul>
<li>Understand and identify what data is available and relevant, including internal and external data sources, and leverage data collecting process.</li><li>Undertake advanced data analysis, algorithm design, hypotheses testing, and model building.</li><li>Develop production-level data products.</li><li>Innovate approaches to solve business problems and communicate results and methodologies.</li><li>Evaluate, validate and provide on-going tracking of performance of decision models.</li><li>Make improvements to methods and algorithms that lead to new findings and refined results.</li><li>Create analyses that tell a ""story"" focused on insights, not just data. </li></ul>
  <br/>
<strong>Key Performance Indicators (KPIs)</strong><br/>
  <br/>
<ul>
<li>Demonstrated ability to quickly understand data and new concepts</li><li>Implemented enhancements of the algorithm and data collecting process as needed</li><li>Can independently work from start to end: structuring problem, dealing with data, architecting solution at optimized cost and suggesting improvements</li><li>Key findings are presented to all staff both from IT and the business perspectives such that they're educated, engaged and able to contribute meaningful ideas
</li></ul>
  <br/>
<strong>Key Knowledge and Experience</strong><br/>
  <br/>
<ul>
<li>Hands on experience with Machine Learning and Statistical Modelling</li><li>Strong scripting skills (SQL and at least one of R, Python, Scala, Java, C, etc.)</li><li>Natural Language Processing techniques</li><li>Experience with Big Data frameworks (Spark, Flink, Kafka, etc)</li><li>Experience with AWS services (EC2, Redshift, RDS, EMR, etc) </li></ul>
<div>Please apply within if interested</div>
</div>, '\r\n\xa0', <br/>, '\r\n\xa0', <br/>, '\r\n\xa0', <br/>, '\r\n\xa0', <br/>, '\r\n\xa0', <br/>, '\r\n\xa0', <br/>, '\r\n\xa0', <br/>, '\r\n\xa0', <br/>, '\n', <div></div>, '\n']",https://www.seek.com.au/job/33367514?type=standard&tier=no_tier&pos=7&whereid=1000&userqueryid=54c93dfefcde8238be91887199ac0064-0028302&ref=beta
Data-Scientist,1,b'Data Engineer/Scientist\r\n    ',b'Sydney', North Shore & Northern Beaches,b'super',b'Full Time',Halcyon Knights Pty Ltd - ,b'Information &amp; Communication Technology',"['\n', <p><strong>The Company:</strong></p>, '\n', <p>This is company is rated one of the top tech companies in Australia! You will be working on a massive E-Commerce platform with a tremendous amount of traffic moving through the website. This platform is partnered with over 1000 companies worldwide. You become
 an integral part of the business and will play a crucial role in the delivering practises in the years to come!</p>, '\n', <p><strong>The Role:</strong></p>, '\n', <ul>
<li>Design, develop and build a range of data sets including raw customer data, financial and marketing data</li><li>Storytelling and present to clients with extensive data research</li><li>Experiment with different Algorithms to build solid solutions </li><li>Collaborate closely with the internal team and clients</li><li>Work in a very mature agile environment</li></ul>, '\n', <p><strong>Candidate Requirements: </strong></p>, '\n', <ul>
<li>Very strong experience using SQL Server, Kibana and Splunk</li><li>Very strong understanding of AWS </li><li>An understanding of AWS Quicksite is advantageous</li><li>A degree in Data Science or very similar </li><li>Very strong communication skills is essential</li></ul>, '\n', <p><strong>Contact: </strong></p>, '\n', <p>If this opportunity sounds like you then please reach out to Jimmy Grice on 0424 644 230 for a confidential discussion.
</p>, '\n', <p><strong>For other exciting job opportunities and to keep up-to-date with the IT world, please 'Follow' Halcyon Knights on LinkedIn @ www.linkedin.com/company/halcyon-knights.</strong></p>, '\n', <p></p>, '\n']",https://www.seek.com.au/job/33374269?type=standout&tier=no_tier&pos=8&whereid=1000&userqueryid=54c93dfefcde8238be91887199ac0064-0028302&ref=beta
Data-Scientist,1,b'Assistant Scientist - 12 month contract (2 roles available)\r\n    ',b'Sydney', North Shore & Northern Beaches,,b'Contract/Temp',PepsiCo Australia and New Zealand - ,b'Science &amp; Technology',"['\n', <p>At PepsiCo Australia &amp; New Zealand, our people are the key to our success… We are committed to recruiting, training and retaining high quality people. We are the home to some of the world’s most recognised and respected brands including Pepsi Max, Gatorade,
 Doritos and Quaker, together with local favourites like Smith's Chips, Red Rock Deli, Bluebird Chips and Twisties. From beverages to snacks, we offer consumers a broad range of product choices from simple treats to healthier offerings. To continue our success
 we currently have an exciting opportunity to join our team as <strong>R&amp;D Assistant Scientist - 12 month contract,
</strong>to become proficient in the new Global Ingredient Specification System and provide technical support to the ANZ R&amp;D Team to enable its implementation in Australia &amp; New Zealand.</p>, '\n', <p><strong>Key</strong><strong> accountabilities of the role will include:</strong></p>, '\n', <ul>
<li>Understand the new PepsiCo Global Ingredient Standard and Supplier Standard, and become proficient in the new IT Applications associated with these.</li><li>Validate correct migration of data to the new Global Ingredient Specification system, includes proof reading.</li><li>Contacting suppliers for updated specification information.</li><li>Preparation and entering raw material specifications into the new Ingredient Specification System, requiring collaboration with varying functions (R&amp;D PD, R&amp;D QA, R&amp;D Regulatory, Procurement, Vendor Assurance and the Supplier).</li><li>Complete monthly Global Scorecard associated with tracking new/existing raw material specifications. Also take part in weekly regional calls.</li><li>Writing, submitting and tracking of Change Requests for the new Ingredient Specification system, specific to ANZ.</li><li>Assist R&amp;D team with tasks as required, including working on identifying suitable Analytical Test Methods.</li></ul>, '\n', <p><strong>Requirements for the role will include:</strong></p>, '\n', <ul>
<li>University degree in Food Technology or related discipline.</li><li>Ideally 1+ years’ experience in the food Industry and experience using the AFGC Product Information Form or experience developing raw material specifications.</li><li>Technical minded individual with attention to detail.</li><li>Strong communication, organisation and project management skills.</li><li>Competency in computer applications such as Word, Excel and PowerPoint and can adapt to new IT applications.</li></ul>, '\n', <p>This is a great opportunity to join a truly global business that’s passionate about our people and products and growing sustainably &amp; innovating into the future. Remember that there are 2 of these roles available!</p>, '\n', <p><em>Our Commitment is to deliver Sustained Growth through Empowered People acting with Responsibility and Trust.</em></p>, '\n']",https://www.seek.com.au/job/33403775?type=standard&tier=no_tier&pos=9&whereid=1000&userqueryid=54c93dfefcde8238be91887199ac0064-0028302&ref=beta
Data-Scientist,1,b'Data Scientist\r\n      ',b'Sydney'," CBD, Inner West & Eastern Suburbs",b'$100k - $140k p.a. + Super',b'Full Time',Hudson - ,b'Banking &amp; Financial Services',"['\n', <p>As a Data Scientist, you will work with different divisions to uncover their key business problems and implement data science solutions to create value for the organisation. You will work proactively on:</p>, '\n', <ul>
<li>Identify where data science can create value or solve problems for the business and use your skills and experience to do so</li><li>Take responsibility for project delivery, communicate and develop relationships with all stakeholders</li><li>Be accountable for end-to-end predictive modelling from exploratory analysis to feature engineering to performance evaluation</li><li>Design and implement data science solutions that will deliver the expected business outcomes</li><li>Communicating data driven insights to stakeholders at all levels</li><li>Participate in regular training sessions to share best practices and develop knowledge of current and emerging technologies to constantly uplift the team's capabilities
</li></ul>, '\n', <p>Our Ideal Person </p>, '\n', <p>Postgraduate qualifications (PHD or Masters with a research component) in a relevant field with experience in data science working with large datasets. Extensive knowledge of varied machine learning models and analytical techniques.</p>, '\n', <p><strong>SKILLS &amp; EXPERIENCE</strong></p>, '\n', <ul>
<li><strong>Strong experience in analytical tools, processes and practices </strong>
</li><li><strong>Worked with R, Python or other open source tools </strong></li><li><strong>Strong SQL skills Data modelling skills </strong></li><li><strong>Machine Learning programming capability </strong></li><li><strong>Software engineering background </strong></li><li><strong>Strong written and verbal communication skills </strong></li><li><strong>Strong problem solving and presentation skills </strong></li><li><strong>Passionate about analytics</strong></li></ul>, '\n', <p>If you have the relevant prerequisites above please e-mail Andreas Mead your CV at andreas.mead@hudson.com or call on 0282 332 346</p>, '\n', <p></p>, '\n']",https://www.seek.com.au/job/33358184?type=standout&tier=no_tier&pos=10&whereid=1000&userqueryid=54c93dfefcde8238be91887199ac0064-0028302&ref=beta
